book_id,title,subtitle,authors,publisher,published_date,description,page_count,categories,average_rating,ratings_count,language,preview_link,info_link,isbn_13,isbn_10,list_price,currency,buyable,search_category,thumbnail
szWo_k9WPB4C,House Reports,,,Government Printing Office,,,1522.0,,,0,en,http://books.google.com/books?id=szWo_k9WPB4C&pg=RA7-PA59&dq=technology+programming&hl=&cd=14&source=gbs_api,http://books.google.com/books?id=szWo_k9WPB4C&dq=technology+programming&hl=&source=gbs_api,,,,,False,technology programming,http://books.google.com/books/content?id=szWo_k9WPB4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
SmO4ISjl568C,Technology Review,MIT's Magazine of Innovation,,,1916,,1218.0,Technology,,0,en,http://books.google.com/books?id=SmO4ISjl568C&pg=PA449&dq=technology+programming&hl=&cd=15&source=gbs_api,https://play.google.com/store/books/details?id=SmO4ISjl568C&source=gbs_api,,,,,False,technology programming,http://books.google.com/books/content?id=SmO4ISjl568C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
MQ-DDwAAQBAJ,Programming,,Jeff Mapua,"Enslow Publishing, LLC",2018-12-15,"In our age of technology, computer programming has never been more important. This introductory text breaks down programming into its most fundamental concepts. Readers discover what it means to be a programmer as they explore the types of programs available and what they are able to do. Essential programs, computer language, and syntax are covered in an accessible style and eye-catching format. Accompanied by full-color photographs, fast facts, and a final activity, this book is a reader's first step into the world of computer programming.",26.0,Juvenile Nonfiction,,0,en,http://books.google.com/books?id=MQ-DDwAAQBAJ&printsec=frontcover&dq=technology+programming&hl=&cd=16&source=gbs_api,http://books.google.com/books?id=MQ-DDwAAQBAJ&dq=technology+programming&hl=&source=gbs_api,9781978502314.0,1978502311,,,False,technology programming,http://books.google.com/books/content?id=MQ-DDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
FzsuAAAAYAAJ,Program of Work ... for the Fiscal Year 1915,"Prepared July 1, 1914",United States. Department of Agriculture,,1914,,288.0,,,0,en,http://books.google.com/books?id=FzsuAAAAYAAJ&pg=PA103&dq=technology+programming&hl=&cd=17&source=gbs_api,https://play.google.com/store/books/details?id=FzsuAAAAYAAJ&source=gbs_api,,,,,False,technology programming,http://books.google.com/books/content?id=FzsuAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
xI9RAQAAMAAJ,PROGRAM OF WORK FOR THE FISCAL YEAR,,"U.S. . AGRICULTURE, DEPT. OF",,1914,,768.0,,,0,en,http://books.google.com/books?id=xI9RAQAAMAAJ&pg=PA103&dq=technology+programming&hl=&cd=18&source=gbs_api,https://play.google.com/store/books/details?id=xI9RAQAAMAAJ&source=gbs_api,,,,,False,technology programming,http://books.google.com/books/content?id=xI9RAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
K9bu09kdmucC,"""Code of Massachusetts regulations, 1996""",,,,1996,Archival snapshot of entire looseleaf Code of Massachusetts Regulations held by the Social Law Library of Massachusetts as of January 2020.,2620.0,,,0,en,http://books.google.com/books?id=K9bu09kdmucC&pg=PA2226&dq=technology+programming&hl=&cd=19&source=gbs_api,https://play.google.com/store/books/details?id=K9bu09kdmucC&source=gbs_api,,,,,False,technology programming,http://books.google.com/books/content?id=K9bu09kdmucC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
5JgQAQAAMAAJ,International Handbook of Production and Operations Management,,Ray Wild,Weidenfeld & Nicolson,1989,,680.0,Business & Economics,,0,en,http://books.google.com/books?id=5JgQAQAAMAAJ&q=technology+programming&dq=technology+programming&hl=&cd=20&source=gbs_api,http://books.google.com/books?id=5JgQAQAAMAAJ&dq=technology+programming&hl=&source=gbs_api,,,,,False,technology programming,http://books.google.com/books/content?id=5JgQAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
DXoiAQAAMAAJ,Illinois Technograph,,,,1959,,492.0,College student newspapers and periodicals,,0,en,http://books.google.com/books?id=DXoiAQAAMAAJ&pg=PA7&dq=technology+programming&hl=&cd=41&source=gbs_api,https://play.google.com/store/books/details?id=DXoiAQAAMAAJ&source=gbs_api,,,,,False,technology programming,http://books.google.com/books/content?id=DXoiAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
aHFsf-YVDzYC,"""Code of Massachusetts regulations, 1992""",,,,1992,Archival snapshot of entire looseleaf Code of Massachusetts Regulations held by the Social Law Library of Massachusetts as of January 2020.,364.0,,,0,en,http://books.google.com/books?id=aHFsf-YVDzYC&pg=PA32&dq=technology+programming&hl=&cd=42&source=gbs_api,https://play.google.com/store/books/details?id=aHFsf-YVDzYC&source=gbs_api,,,,,False,technology programming,http://books.google.com/books/content?id=aHFsf-YVDzYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
xGS2IO8HuqkC,"""Code of Massachusetts regulations, 1991""",,,,1991,Archival snapshot of entire looseleaf Code of Massachusetts Regulations held by the Social Law Library of Massachusetts as of January 2020.,362.0,,,0,en,http://books.google.com/books?id=xGS2IO8HuqkC&pg=PA32&dq=technology+programming&hl=&cd=43&source=gbs_api,https://play.google.com/store/books/details?id=xGS2IO8HuqkC&source=gbs_api,,,,,False,technology programming,http://books.google.com/books/content?id=xGS2IO8HuqkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
